	ids	company	slogan	logo	member	calender	ot	country	typeCompany	agency	overview	why_you_work_here	key_skill	description	address
0	0	Softfoundry	Softfoundry	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOEEzREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--98579428a7fef20016c471ef4d49bc64016ec8ad/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/softfoundry-logo.png	1-50	Monday - Saturday	No OT	Vietnam	Product		['Softfoundry (www.softfoundry.com) is dedicated to the development of new generation Carrier Class Multi-HD Green-Tech communication.', 'Based on Patented advanced video communication technology supporting multi-HD,multi-codec, multi-applications carrier-class platform, Softfoundry is the world leader for High Definition Telepresence and Collaboration solutions for the managed and secured network used in Governments, enterprises, financial/insurance ,healthcare, education, carriers and ISP.', 'Softfoundry will continue this relentless drive for advancing the state-of -the-art Green Communication Technology for benefiting the future world.']	['1\nCompetitive salary', '2\nYoung, dynamic, team-oriented working environment', '3\nMany challenges for learning new technologies']	['OOP', 'Java']	['']	['15 Le Thanh Ton\nDistrict 1\nHo Chi Minh']
1	1	Softfoundry	Softfoundry	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOEEzREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--98579428a7fef20016c471ef4d49bc64016ec8ad/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/softfoundry-logo.png	1-50	Monday - Saturday	No OT	Vietnam	Product		['Softfoundry (www.softfoundry.com) is dedicated to the development of new generation Carrier Class Multi-HD Green-Tech communication.', 'Based on Patented advanced video communication technology supporting multi-HD,multi-codec, multi-applications carrier-class platform, Softfoundry is the world leader for High Definition Telepresence and Collaboration solutions for the managed and secured network used in Governments, enterprises, financial/insurance ,healthcare, education, carriers and ISP.', 'Softfoundry will continue this relentless drive for advancing the state-of -the-art Green Communication Technology for benefiting the future world.']	['1\nCompetitive salary', '2\nYoung, dynamic, team-oriented working environment', '3\nMany challenges for learning new technologies']	['OOP', 'Java']	['']	['15 Le Thanh Ton\nDistrict 1\nHo Chi Minh']
2	2	Softfoundry	Softfoundry	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOEEzREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--98579428a7fef20016c471ef4d49bc64016ec8ad/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/softfoundry-logo.png	1-50	Monday - Saturday	No OT	Vietnam	Product		['Softfoundry (www.softfoundry.com) is dedicated to the development of new generation Carrier Class Multi-HD Green-Tech communication.', 'Based on Patented advanced video communication technology supporting multi-HD,multi-codec, multi-applications carrier-class platform, Softfoundry is the world leader for High Definition Telepresence and Collaboration solutions for the managed and secured network used in Governments, enterprises, financial/insurance ,healthcare, education, carriers and ISP.', 'Softfoundry will continue this relentless drive for advancing the state-of -the-art Green Communication Technology for benefiting the future world.']	['1\nCompetitive salary', '2\nYoung, dynamic, team-oriented working environment', '3\nMany challenges for learning new technologies']	['OOP', 'Java']	['']	['15 Le Thanh Ton\nDistrict 1\nHo Chi Minh']
3	3	Nimble	We build outstanding software with expertise and passion	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMk0rRGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0c02fa6e161d84d9e04fa5400ceff5be917b6a97/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/nimbl3-logo.png	51-150	Monday - Friday	No OT	Thailand	Outsourcing		"['No rockstars or ninja developers here. We are a team of friendly and passionate software engineers, product owners and designers striving to build outstanding web and mobile applications.', ""Millions of people use our apps. We work for companies of all sizes; from 1-person startups to Fortune 500 enterprises. We take a collaborative and product development approach, creating custom software that people will love to use and solving our clients' problems so that they can focus on what they do best - better."", 'If you want to grow together, work on challenging products and enjoy using the best tools and practices, Nimble is the right place for you! We keep our recruitment process practical and straightforward.', 'To learn more about how we work, check our handbook named Compass, Github organization, and Medium account. ', 'Want to see what we have built? Check our Dribbble and Behance accounts.']"	['1\nHigh-spec Macbook Pro and kits', '2\nWFH and Education Allowances', '3\nWorld-class projects']	['Ruby on Rails', 'JavaScript', 'Golang', 'Agile', 'Software Architect', 'Team Leader']	['You will be proud of any product that has our name on it.', 'We are an engineering-focused company. Both co-founders are software engineers and led the tech teams at the most prominent e-commerce powerhouses in South East Asia.', 'We really pay attention and care about processes, high quality, and aesthetics.', 'Strong processes. We not only believe but also really work following agile principles. Developers work on well-sized and well-defined user stories, do estimate using points and work iteratively in short sprints (1-2 weeks).', 'Regular one-on-one reviews to constantly improve and grow. We have a clearly defined process for our developers to level up continuously not only their technical skills but also soft skills.', 'The vast amount of learning resources (Pluralsight, Pragpub, Leanpub, (e-)books, etc.) and yearly education allowance to step up your game.', 'Provident Fund which allows you to save money every month and we match your monthly contributions (see more detailed info).', 'Private medical insurance (Liberty) from day one, company care fund and social welfare coverage.', 'Great equipment consisting of a MacBook Pro, large screens, and any accessory to let you work comfortably. Our equipment is renewed every 3 years.', 'Casual work attire for everyone.', 'Comfortable and modern office space environment in the heart of Ho Chi Minh City and Da Nang.', 'Company-wide Work-From-Home policy', 'Work From Home allowance to set up your home office the right way!', 'Our office kitchen is fully stocked with drinks and snacks for the team.', 'Visa and work permit for foreigners. If you live abroad, we provide a relocation assistance package consisting of a plane ticket allowance and up to 3 weeks of initial accommodation.', '26 days of paid leaves/year (11 public holidays + 15 personal days).', 'Sabbatical month every 3 years.', 'Company outing every year.', 'Many more perks!']	['WeWork, Lim Tower 3, 03-101, 29A Nguyễn Đình Chiểu, Đa Kao Ward\nDistrict 1\nHo Chi Minh', 'Seahorse Office, 5th Floor, 29 Yên Bái\nHai Chau\nDa Nang']
4	4	DXC Vietnam	Join our global talent team to deliver Next-Gen Technologies & Solutions	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBemJFSGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--9fa28cbb89bff17e4ba66caa8a3c0a6ffb00806b/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/DXC%20Logo_Purple+Black%20RGB.png	1000+	Monday - Friday	Extra salary for OT	United States	Outsourcing		"['Join our global talent team to deliver Next-Gen Technologies & Solutions', 'DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship.', 'We are a Tier 1 IT company in Vietnam servicing global customers and the domestic market with a large range of solutions and services. We specialize in both next-gen and cutting-edge solutions in areas such as Mobility, AI, modernization of existing legacy applications in Commerce, Insurance, Healthcare and Life Sciences, etc.', ""Would you like to be part of an amazing team delivering many of the world's most challenging and complex business and IT as well as in a global leading IT company in Vietnam? "", 'SHAPE YOUR BRIGHT CAREER @ DXC VIETNAM!', 'We Are DXC', 'Delivering eXcellence for our Customers and Colleagues']"	['1\nLeading in Next-Gen Technologies & Solutions', '2\nOpportunities to work in Overseas Assignments', '3\nReward your excellence by our Recognition Programs']	['JavaScript', 'Java', '.NET', 'Sharepoint', 'Business Analyst']	['Why We Are Different?', 'At DXC Vietnam, we acknowledge that our associates are the greatest asset and we make sure to provide our talents an exciting job and work/life balance.', 'A Great Place to Work: We provide our associates a range of programs in the workplace to help maintain healthy and work life balance (Sport/Tournaments/Yoga, Music Band, etc.).', 'Various Recreation Activities: We offer our associates a great number of recreation activities through-out the year include sports, yoga practices, internal contest, etc. which greatly promote the unity and team spirit (DXC Amazing Race, DXC Got Talent, etc.)', 'Extra Healthcare & Insurance Programs: We wish to bring our associates the best for their health by offering superior benefits that support health and wellness.', 'Incentive for Learning Achievement: We encourage our associates to strive for more learning achievements with the attractive incentive programs (Technical/ English Incentive Awards, etc.)', 'Recognition Award Programs: We always acknowledge the significant contributions of our associates who constantly deliver greater value to our clients and contribute significantly to the growth of the company by the attractive recognition awards (Tech Global Award, Individual/Team Excellent Awards, etc.)', 'Tech6 Program: A frame work to foster digital technology engagements through 6 key activities that inspire, connect, educate, build, give and inform.', 'Training & Development: Our global environment promotes lifelong learning. We invest in both infrastructure and content to ensure that employees all over the world have access to high-quality learning opportunities through DXC University & extensive Training Workshops which are regularly organized weekly.', 'Overseas Transfer Program: A great number of our associates have been selected to work with our clients in the United States, Australia, United Kingdom, Dubai, Japan, Switzerland, Germany, Singapore, etc. This is really a great opportunity for our associates to fully improve their understanding and outlook of other cultures, global life style, and enabling them to develop a truly global vision and gain a rich perspective of experience life-changing insights.', 'Corporate Responsibility: Our associates make the company and our CR efforts successful. We have demonstrated our full commitment to sharing and building the local community by organizing a wide range of charity activities in Vietnam throughout the year (Charity visits, Fun Run, Blood Donation, Disaster relief efforts, House Donation, etc.)']	['eTown 5 Building, 364 Cong Hoa\nTan Binh\nHo Chi Minh']
5	5	IFI Solution - An NTT Data Company	Công ty hàng đầu về gia công phần mềm cho khách hàng Châu Âu	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMk1vREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2dec28b9e01b6d8804a425018007fcda623b7231/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/ifi-solution-an-ntt-data-company-logo.png	151-300	Monday - Friday	No OT	Vietnam	Outsourcing		['IFI Solution là thành viên NTT Data, tập đoàn dịch vụ CNTT lớn thứ 6 Thế giới.', 'Làm việc tại IFI Solution, bạn sẽ được tham gia vào các dự án thú vị ở các lĩnh vực như Banking & Financials, Energy, Telecom, Healthcare, Automotive, Big Data…bạn sẽ có dịp tiếp xúc và trao đổi với các chuyên gia quốc tế đến từ Italia, Đan mạch, Pháp, Nhật Bản và có cơ hội chứng tỏ năng lực của người Việt nam với bạn bè thế giới trong giới CNTT.']	[]	['C++', 'Java', '.NET', 'J2EE', 'Oracle', 'Android']	['Salary package: 13 months of income per year ', 'OT compensation: up to 400%', 'Bonus on birthday, New Year’s Eve, 30/4&1/5, 2/9: 500.000VND', 'Child benefit: 500.000 VND per month (from the age of 7 to 24 months old)', 'Shopping or travel voucher 5.000.000VND for official employees who have been working for more than a year and obtain excellent performance review', 'Annual teambuilding: summer trip, many indoor and outdoor activities such as yoga club, soccer club, swimming club,…', 'Professional and dynamic working environment', 'Employee who has foreign language ability will has opportunities to go onsite abroad ', 'Full insurance package which is compliant with Labor law', '12 annual leaves per year']	['98 Nguy Nhu Kon Tum\nThanh Xuan\nHa Noi']
6	6	Adnovum Vietnam	Adnovum	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBendjSWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e10a9468dc5207e2d6366b034e2f2ce21d1eb69b/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/adnovum_logo_pos_ver_rgb_2000px_white_safe_space.png	1-50	Monday - Friday	No OT	Switzerland	Outsourcing		['Adnovum is a leading Swiss software engineering company with over 30 years of experience. We are specialized in the design, implementation and integration of mission-critical large-scale business and security software solutions. Our products secure 80% of all Swiss e-banking transactions; we implement award winning applications for mobile banking as well as complex web applications to manage the order flow of millions of commodities per day..', '', 'The company was founded in 1988, is privately held and has its headquarters in Zurich, Switzerland, with offices in Hungary , Portugal, Singapore and Vietnam.']	['1\nCompetitive salary + bonus', '2\nPremium healthcare', '3\nFree English classes']	['J2EE', 'Java', 'Spring', 'JavaScript', 'English', '.NET']	['Adnovum is a leading Swiss software engineering company with more than 30 years of experience. We are specialized in the design, implementation and integration of mission-critical large-scale business and security software solutions. Our products secure 80% of all Swiss e-banking transactions; we implement award winning applications for mobile banking as well as complex web applications to manage the order flow of millions of commodities per day.', 'We offer', 'Different customer projects using technologies like Java 8, Java EE, EJB, JPA, Hibernate, Spring, JUnit, Mockito, Eclipse RCP, WebServices (RESTful, SOAP), JavaScript, Cordova, JSF, Angular (2), HTML5, CSS 3, JQuery, etc.', 'Project assignments according to your skill set and development goals', 'Working side by side with highly skilled and experienced software engineers', 'Collaboration with colleagues in Switzerland, Hungary, Portugal and Singapore', 'Friendly working atmosphere in a well-equipped and professional IT environment', 'Long-term and stable job with flexible working hours', 'A competitive salary plus a performance based bonus, a premium healthcare plan and free English classes']	['Etown 2 Building, 364 Cong Hoa\nTan Binh\nHo Chi Minh']
7	7	BAEMIN Vietnam (Woowa Bros.)	We are invested by Woowa Brothers, Korea's number 1 food delivery unicorn.	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVNQSGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--71d173430b33d98accb4aebc7c204b35e71ddf6d/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/BAEMIN%20-%20Woowa%20Brothers.png	301-500	Monday - Friday	No OT	Korea, Republic of	Product		"[""Woowa Brothers Corp. là công ty khởi nghiệp dẫn đầu về công nghệ, hiện là nhà vận hành ứng dụng giao thức ăn hàng đầu tại Hàn Quốc “Baedal Minjok”. Kể từ khi thành lập vào năm 2010, WB đã giành được nhiều khoản đầu tư lớn, gồm 40 tỉ won từ Goldman Sachs năm 2014, 57 tỉ won từ Hillhouse Capital năm 2016, và 35 tỉ won từ Naver. Gần nhất là 320 triệu đô la Mỹ từ Hillhouse Capital, Sequoia Capital và Singapore's GIC đã đưa công ty lên vị thế “Kì Lân” - doanh nghiệp khởi nghiệp với giá trị đầu tư cao ngất ngưởng hơn 1 tỉ đô la Mỹ. Là “Kì Lân” tại Hàn Quốc và được đánh giá là một trong những “công ty có môi trường làm việc tốt nhất” trong cộng đồng tài năng trẻ. Hiện công ty đang hướng đến việc đẩy mạnh và phát triển lĩnh vực “food-tech” bằng cách áp dụng những công nghệ tiên tiến như trí thông minh nhân tạo (AI) và công nghệ robot tự lái."", 'Tại Việt Nam, WBV đã ra đời ứng dụng BAEMIN. Mặc dù là một “lính mới” trong thị trường cạnh tranh và phát triển bùng nổ này nhưng BAEMIN tham vọng đặt ra luật chơi mới trên thị trường giao đồ ăn, cũng như sẽ từng bước khẳng định vai trò dẫn đầu với cách tiếp cận đặc trưng đầy khác biệt trong hành trình mang đến trải nghiệm đích thực cho khách hàng.']"	['1\nBroaden your skills.', '2\nBroaden your reach.', '3\nBroaden your career']	['JavaScript', 'NodeJS', 'MongoDB', 'AWS', 'React Native']	['1/ Attractive salary & benefits', '12 annual leave + 4 full-paid sick leave', 'Year-end bonus, public holiday bonus, birthday bonus;', 'Appraisal and salary review every year', '2/ Macbook for employees', '3/ Training Courses', 'Personal training, internal training, oversea training in Korea.....', '4/ Activities', 'Company trip & Team building every year;', 'Year End Party;', 'Team building for Team/Dept every month;', 'Clubs: TENNIS CLUB, MOVIE CLUB, FOOD LOVERS, LUNCH DAY,…', '5/ Transportation: Taxi for working purpose', '6/ Vouchers', '7/ Opportunity to be trained & worked in a leading e-commerce company in Viet Nam;']	['Floor 4-5th, Friendship Tower - 31 Lê Duẫn, Phường Bến Nghé\nDistrict 1\nHo Chi Minh']
8	8	Serdao	OUR JOB OFFERS	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBejFKSFE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--792802d94eeeeeabd08e355ae23adcb9ab299a73/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/avatar%20transparent-01.png	51-150	Monday - Friday	No OT	France	Outsourcing		['SERDAO founded in 2009 is developing and regularly looking for new talent.', 'We provide software development, technical support and digital marketing services.  ', 'We are seeking for motivated engineers to work on outsourcing and various projects for international companies. ']	[]	['HTML5', 'CSS', 'Java', 'PHP']	['A friendly work environment with international working standards', 'Experience in working with a French company with many interesting projects', 'BONUS + Salary annual review', 'Team building organisation']	['14 Phan Ton, Dakao\nDistrict 1\nHo Chi Minh', '7D Phung Khach Khoan, Dakao\nDistrict 1\nHo Chi Minh', 'Tầng 4, Tháp 3, Tòa nhà Sun Grand City Ancora, Số 3 Lương Yên, Phường Bạch Đằng\nHai Ba Trung\nHa Noi']
9	9	Autonomous	"Our mission is to “solve the world's work problem""."	https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNmlTSHc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b84223fb9f358afaa83d12d48f6c3ac74f8c5783/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjloYm1SZmNHRmtXd2RwUm1sRyIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--d55b6722f71e82d147ad94b8445be27797820f9f/autonomous-logo.png	51-150	Monday - Friday	Extra days off for OT	United States	Product		['Autonomous started out as a hardware company.  We build hardware products that help people work better and be more productive. We’ve shipped 1.2M products in our first 5 years in business. ', '2015:  Launched SmartDesk on Kickstarter, raised $285K from 468 people', '2016:  Launched our direct-to-consumer business based on our Kickstarter success', '2017:  Shipped the first ErgoChair', '2018:  Launched KinnChair', '2019:  Started developing Zen Pod', '2020:  Launched the Software Group with 3 initial products Jam, Note, and Hybrid', 'Autonomists help the world be more productive. Our products are proudly made in Vietnam, for global customers. Over 100,000 businesses of all sizes in over 100 countries — from innovative startups to large Fortune 500s including Google, Genentech, Microsoft, Intel, Amazon, Salesforce and Linkedin — use Autonomous products.', 'Join us if you want to create a new set of tools for the future of work.']	['1\nCompetitive salary package', '2\nUnlimited sick leave and official holidays', '3\nPremium healthcare coverage for you & family']	['Python', 'ReactJS', 'Golang', 'System Admin', 'JavaScript', 'ERP']	['Why you’ll love working here', 'You be you.  We deeply care about helping everyone at Autonomous work on what they love, freely express their ideas within the organization, and grow to to their true potential.', 'You be a better you.  Most of the time, you’ll be working on cutting edge technologies.  You’ll be constantly learning and improving your knowledge as an engineer, researcher or scientist.', 'You are your own boss.  There is very little hierarchy at Autonomous.  Decision making processes are transparent and open to vote. We welcome all different ways of thinking and trust the people we work with to do what they do best. There is no micromanagement here.', 'You the inventor.  Most of the time, you’ll find yourself working on a problem that doesn’t have a solution - yet. That’s where you come in.', 'Solve problems for the world, not just Vietnam. Most of the problems we’re solving are for the global audience of today, and of tomorrow.', 'The essentials', 'Competitive salary package', 'Open dynamic working environment with stunning colleagues', 'Light breakfasts, healthy lunches, and hearty dinners', 'Unlimited sick leave, official holidays, and at least 12 paid days off per year', 'Full medical and dental coverage for you and 50% for your family', 'Powerful laptop, monitor, standing desk, and any accessories you need to do your best work', 'Free access to a wide variety of online courses']	['127 Hong Ha\nPhu Nhuan\nHo Chi Minh']
